region,country_code,country_name,city_name,event_area,month,event_name,event_type,description,event_url,enabled,display_order
EUROPE,FR,프랑스,파리,"샹젤리제, 방돔광장, 몽테뉴가, 백화점 쇼윈도 등",1,파리 크리스마스 일루미네이션 시즌,SEASON,"11월 중순부터 1월 초까지 파리 주요 거리와 광장, 백화점 쇼윈도에서 이어지는 연말 조명 시즌입니다. 겨울 파리의 야간 산책과 사진 촬영을 즐기기 좋은 대표 시즌 이벤트입니다.",https://parisjetaime.com/eng/article/christmas-lights-in-paris-a016,true,1
EUROPE,FR,프랑스,파리,"샹젤리제 거리, 개선문 일대",1,파리 샹젤리제 & 개선문 새해 카운트다운,HOLIDAY,"12월 31일 밤부터 1월 1일 새벽까지 샹젤리제와 개선문 일대에서 열리는 파리 대표 새해맞이 행사입니다. 카운트다운, 조명 연출, 불꽃놀이 분위기를 함께 즐길 수 있습니다.",https://parisjetaime.com/eng/event/lightshow-firework-new-year-s-eve-paris-e325,true,2
EUROPE,FR,프랑스,파리,"파리 13구, 벨빌, 마레 등 중국계 커뮤니티 지역",2,파리 중국 설날 퍼레이드,CULTURAL_FESTIVAL,"중국 설날을 맞아 파리 여러 지역에서 열리는 문화 퍼레이드와 축제입니다. 사자춤, 용춤, 거리 행진, 전통 공연을 통해 파리의 다문화 축제 분위기를 느낄 수 있습니다.",https://parisjetaime.com/eng/event/chinese-new-year-in-paris-e106,true,3
EUROPE,FR,프랑스,파리,그랑 팔레,4,아트파리 아트페어,ART,그랑 팔레에서 열리는 파리의 대표 현대미술 아트페어입니다. 프랑스와 해외 갤러리의 현대미술 작품을 한자리에서 볼 수 있어 예술 여행 일정에 넣기 좋습니다.,https://www.artparis.com/en/edition,true,4
EUROPE,FR,프랑스,파리,파리 주요 박물관과 문화시설,5,유럽 박물관의 밤,CULTURE,유럽 전역에서 열리는 박물관 야간 개방 행사입니다. 파리의 여러 박물관과 문화시설이 저녁 시간 특별 프로그램과 무료 또는 특별 관람을 제공해 색다른 문화 경험을 할 수 있습니다.,https://parisjetaime.com/eng/article/the-european-night-of-museums-paris-a951,true,5
EUROPE,FR,프랑스,파리,"생제르맹데프레 일대, 교회와 공연장 등",5,생제르맹데프레 재즈 페스티벌,CULTURE,생제르맹데프레 지역의 역사적인 공연장과 교회 등에서 열리는 재즈 페스티벌입니다. 파리 좌안의 문화 분위기와 재즈 공연을 함께 즐길 수 있습니다.,https://festivaljazzsaintgermainparis.com/en/,true,6
EUROPE,FR,프랑스,파리,파리 및 일드프랑스의 공원과 정원,6,랑데부 오 자르뎅,NATURE,"프랑스 문화부가 주관하는 정원 개방 행사입니다. 파리와 일드프랑스의 공원, 정원, 문화유산 공간에서 가이드 투어와 정원 관련 프로그램을 즐길 수 있습니다.",https://rendezvousauxjardins.culture.gouv.fr/,true,7
EUROPE,FR,프랑스,파리,파리 시내 주요 문화 공간과 야외 설치 장소,6,뉘 블랑쉬,ART,"파리 전역에서 밤새 열리는 현대예술 축제입니다. 설치미술, 공연, 전시, 야간 산책 코스를 통해 도시 전체가 예술 공간처럼 변하는 분위기를 경험할 수 있습니다.",https://parisjetaime.com/eng/event/nuit-blanche-in-paris-e015,true,8
EUROPE,FR,프랑스,파리,"파리 시내 거리, 광장, 공연장 일대",6,페트 드 라 뮈지크,CULTURAL_FESTIVAL,"하지 무렵 프랑스 전역에서 열리는 음악 축제입니다. 파리 곳곳의 거리와 광장, 공연장에서 무료 공연과 거리 음악을 즐길 수 있습니다.",https://fetedelamusique.culture.gouv.fr/,true,9
EUROPE,FR,프랑스,파리,"샹 드 마르스, 에펠탑, 센강 일대 등",7,프랑스 혁명기념일 행사,NATIONAL_HOLIDAY,"프랑스 국경일을 기념하는 대표 행사입니다. 파리에서는 군사 퍼레이드, 축하 분위기, 에펠탑 불꽃놀이 등 도시 전체의 특별한 축제 분위기를 느낄 수 있습니다.",https://www.toureiffel.paris/en/news/events/fireworks-display-14-july,true,10
EUROPE,FR,프랑스,파리,"센강변, 빌레트 운하, 생마르탱 운하 등",7,파리 플라주,SEASON,"여름철 파리 시내 강변과 운하 주변을 휴식 공간처럼 조성하는 시즌 이벤트입니다. 선베드, 수상 활동, 가족 프로그램, 여름 산책 분위기를 즐기기 좋습니다.",https://parisjetaime.com/eng/event/paris-plages-e013,true,11
EUROPE,FR,프랑스,파리,파리 및 일드프랑스의 공연장과 공공 공간,7,파리 레테 페스티벌,CULTURE,"파리와 일드프랑스 여러 장소에서 열리는 여름 공연예술 축제입니다. 무용, 연극, 서커스, 거리 공연 등 다양한 장르의 공연을 도심 곳곳에서 만날 수 있습니다.",https://www.parislete.fr/en,true,12
EUROPE,FR,프랑스,파리,"센강변, 빌레트 운하, 생마르탱 운하 등",8,파리 플라주,SEASON,"7월부터 8월까지 이어지는 파리의 대표 여름 시즌 이벤트입니다. 도심 속 강변 휴식 공간과 물놀이, 문화 프로그램을 통해 여름 파리의 분위기를 느낄 수 있습니다.",https://parisjetaime.com/eng/event/paris-plages-e013,true,13
EUROPE,FR,프랑스,파리,"생클루 국립공원, 파리 서쪽 근교",8,락엉센 뮤직 페스티벌,CULTURE,파리 근교 생클루 국립공원에서 열리는 대형 음악 페스티벌입니다. 여름 끝자락에 다양한 해외 및 프랑스 아티스트의 공연을 즐길 수 있습니다.,https://www.rockenseine.com/en/,true,14
